8,8
8,8
9,10
8,8
9,9
8,10
10,10
10,10
9,9
9,9
9,9
10,10
10,9
10,10
9,9
9,9
9,9
8,9
9,9
9,9
9,9
8,7
9,9
10,10
9,9
8,7
9,9
9,9
17,17
17,17
22,19
17,17
17,17
17,17
9,17
15,22
19,17
17,22
18,18
11,17
17,17
17,17
22,22
18,18
19,22
17,22
7,17
17,22
23,23
22,16
18,18
17,19
17,17
17,22
22,16
22,22
8,22
22,22
17,22
19,23
18,18
17,22
16,22
18,18
17,18
17,22
11,11
18,18
17,22
18,18
18,18
30,0
9,8
48,9
13,10
10,10
7,7
10,10
47,7
10,10
8,8
47,7
8,8
10,10
8,9
7,8
10,10
7,8
8,8
10,10
7,7
10,10
10,10
10,10
9,9
7,7
10,10
10,10
10,10
7,6
10,10
8,6
10,10
10,10
10,10
10,10
8,8
10,10
7,7
10,10
8,7
8,8
8,8
9,5
8,8
10,8
9,9
8,8
8,8
9,9
10,10
8,8
9,9
21,21
21,13
10,21
43,13
24,24
24,30
8,24
24,24
24,24
9,24
10,24
24,30
24,24
31,31
31,24
24,24
7,31
21,24
24,24
31,31
47,47
47,47
47,47
47,47
47,47
41,47
43,43
43,47
47,47
12,7
10,10
5,5
5,5
5,5
7,7
8,8
7,7
10,10
7,6
7,7
0,5
7,7
10,10
5,5
9,6
8,8
19,8
10,10
10,10
9,9
8,9
9,9
5,5
23,5
10,10
8,8
23,5
4,5
21,13
11,11
17,17
48,12
11,11
5,22
49,12
5,12
7,11
6,11
12,12
7,11
6,11
29,31
24,30
7,31
10,24
21,24
7,30
7,29
41,41
43,43
43,43
38,41
29,49
9,9
49,8
9,9
9,7
13,9
9,9
49,8
0,7
9,9
8,8
8,5
9,9
8,8
9,9
10,10
30,9
9,7
9,9
8,8
10,10
9,6
9,9
30,7
7,7
7,9
7,7
5,8
22,8
19,22
17,19
9,19
19,19
17,19
19,19
22,22
19,17
22,22
23,22
17,22
48,22
17,17
29,13
20,20
13,13
19,19
9,19
48,19
30,12
33,15
12,12
8,22
17,17
17,17
13,13
17,22
13,13
19,22
23,23
17,19
48,22
17,22
17,17
19,22
17,17
23,23
22,22
19,17
13,13
13,13
19,19
33,15
11,19
48,13
17,19
17,22
23,23
17,22
43,17
5,29
30,30
29,29
30,30
29,29
48,30
48,30
30,30
29,29
29,29
13,29
13,29
49,29
29,29
31,31
49,30
29,29
41,41
32,38
41,41
48,48
48,48
23,48
22,48
48,48
17,48
48,48
48,48
48,48
18,48
30,48
48,48
8,48
23,48
48,48
5,49
48,48
48,48
48,48
8,49
17,49
13,49
1,1
50,0
8,8
8,7
9,9
8,8
7,7
10,10
10,10
2,7
9,9
10,10
21,7
49,6
7,7
7,7
21,7
21,10
21,9
21,7
8,8
10,10
9,9
9,9
7,7
9,9
49,7
10,10
7,7
10,9
9,9
9,9
9,9
9,9
9,9
7,7
24,7
7,7
10,9
17,17
1,21
21,21
12,21
49,24
49,24
33,33
44,41
32,44
43,43
43,47
41,41
48,48
49,49
49,49
49,48
48,48
9,9
9,9
9,9
9,9
10,10
9,9
8,8
9,9
10,10
8,10
8,8
9,9
9,9
9,9
9,9
9,9
10,10
9,9
10,10
10,10
9,9
9,9
10,10
9,9
10,10
9,9
9,9
9,9
9,9
9,9
10,10
9,9
9,9
10,10
10,10
8,10
10,10
10,10
10,8
9,9
9,9
9,9
9,9
10,10
8,8
19,19
42,42
42,42
8,8
9,9
10,10
10,10
9,9
9,9
9,9
8,8
10,9
10,10
10,10
31,7
10,10
7,7
10,10
10,10
10,10
8,10
7,7
10,10
10,10
10,10
9,9
10,10
10,10
8,8
10,10
7,7
9,9
9,9
10,8
32,12
0,31
10,31
9,31
31,31
7,49
10,48
28,0
21,9
9,9
21,9
10,10
21,10
9,9
8,8
21,10
9,9
10,8
8,6
8,10
10,8
8,8
7,8
10,10
10,10
20,6
8,8
23,12
23,21
21,21
21,21
21,21
21,21
21,21
14,21
21,21
21,21
21,21
21,21
21,21
10,21
21,21
29,13
21,21
21,21
6,21
21,21
21,21
21,21
8,21
23,22
21,21
8,23
21,21
21,21
23,23
23,23
23,22
23,23
23,23
21,21
21,21
23,23
23,23
23,23
23,23
27,13
21,21
21,21
21,21
21,21
21,21
23,23
27,23
20,20
28,16
23,20
16,16
16,16
13,21
23,23
11,11
16,16
23,23
20,23
16,16
23,23
21,21
21,21
21,21
21,14
14,14
21,21
23,20
23,23
30,27
21,28
21,31
29,26
27,27
31,29
13,27
27,27
24,27
29,29
16,31
31,31
26,26
29,29
29,26
0,0
0,1
0,0
0,0
1,1
0,0
0,0
0,0
1,0
49,1
0,1
1,0
48,17
48,17
0,27
43,43
0,49
48,48
49,49
48,48
49,49
49,0
8,8
8,8
5,5
5,8
