8,8
8,8
9,10
8,8
9,9
8,10
10,10
10,10
9,9
9,9
9,9
10,10
9,9
10,10
9,9
9,9
9,9
5,9
9,9
9,9
9,9
8,7
9,9
10,10
9,9
8,7
9,9
9,9
23,17
17,17
22,19
17,17
17,17
17,17
22,17
15,22
17,17
17,22
18,18
17,17
17,17
17,17
22,22
18,18
17,22
17,22
7,17
17,22
23,23
18,16
18,18
15,19
17,17
17,22
22,16
17,22
8,22
22,22
17,22
17,23
18,18
17,22
22,22
22,18
17,18
17,22
11,11
18,18
17,22
18,18
48,18
7,0
9,8
9,9
13,10
10,10
7,7
10,10
47,7
10,10
9,8
47,7
10,8
10,10
9,9
10,8
10,10
7,8
8,8
10,10
7,7
10,10
10,10
10,10
9,9
8,7
10,10
10,10
10,10
21,6
10,10
8,6
10,10
10,10
10,10
10,10
8,8
10,10
7,7
10,10
8,7
8,8
8,8
9,5
8,8
10,8
9,9
8,8
8,8
9,9
9,10
8,8
9,9
21,21
21,13
10,21
47,13
21,24
24,30
8,24
8,24
24,24
24,24
10,24
24,30
8,24
31,31
31,24
24,24
0,31
14,24
24,24
31,31
47,47
43,47
43,47
47,47
8,47
41,47
47,43
43,47
47,47
12,7
10,10
5,5
6,5
5,5
7,7
8,8
22,7
10,10
7,6
11,7
4,5
7,7
10,10
5,5
6,6
41,8
19,8
10,10
10,10
9,9
8,9
9,9
23,5
24,5
10,10
8,8
23,5
4,5
21,13
11,11
17,17
48,12
11,11
49,22
49,12
12,12
7,11
6,11
12,12
11,11
6,11
31,31
27,30
7,31
24,24
7,24
48,30
7,29
43,41
43,43
43,43
22,41
10,49
9,9
8,8
9,9
5,7
13,9
9,9
49,8
10,7
9,9
8,8
8,5
9,9
8,8
9,9
10,10
30,9
8,7
8,9
8,8
8,10
9,6
9,9
48,7
7,7
8,9
7,7
8,8
22,8
15,22
17,19
48,19
19,19
19,19
17,19
22,22
19,17
8,22
23,22
23,22
48,22
15,17
29,13
20,20
29,13
19,19
17,19
48,19
34,12
33,15
12,12
17,22
17,17
17,17
13,13
17,22
13,13
17,22
23,23
17,19
22,22
17,22
17,17
19,22
50,17
23,23
22,22
17,17
13,13
13,13
34,19
33,15
17,19
1,13
17,19
17,22
23,23
17,22
17,17
5,29
30,30
29,29
30,30
29,29
48,30
29,30
30,30
29,29
29,29
13,29
29,29
48,29
29,29
9,31
49,30
29,29
41,41
39,38
7,41
48,48
48,48
23,48
22,48
48,48
17,48
48,48
48,48
48,48
48,48
30,48
49,48
48,48
23,48
48,48
5,49
48,48
48,48
48,48
48,49
17,49
13,49
0,1
49,0
8,8
8,7
9,9
8,8
7,7
10,10
10,10
1,7
9,9
10,10
21,7
0,6
7,7
7,7
21,7
10,10
9,9
21,7
8,8
10,10
11,9
9,9
10,7
9,9
0,7
10,10
7,7
9,9
9,9
9,9
9,9
9,9
9,9
7,7
7,7
7,7
10,9
8,17
1,21
21,21
9,21
49,24
7,24
33,33
43,41
44,44
43,43
22,47
41,41
48,48
49,49
49,49
49,48
48,48
9,9
9,9
9,9
9,9
10,10
9,9
8,8
9,9
10,10
8,10
8,8
9,9
9,9
9,9
9,9
9,9
10,10
9,9
10,10
10,10
9,9
9,9
10,10
9,9
10,10
9,9
9,9
9,9
9,9
9,9
10,10
9,9
9,9
10,10
10,10
8,10
10,10
10,10
10,8
9,9
9,9
9,9
9,9
10,10
8,8
19,19
42,42
42,42
8,8
9,9
10,10
10,10
9,9
9,9
9,9
6,8
8,9
10,10
10,10
7,7
10,10
7,7
10,10
10,10
10,10
7,10
7,7
10,10
10,10
10,10
9,9
10,10
10,10
8,8
10,10
49,7
9,9
9,9
10,8
32,12
7,31
0,31
9,31
31,31
48,49
10,48
28,0
24,9
9,9
21,9
21,10
21,10
9,9
8,8
21,10
6,9
10,8
8,6
8,10
8,8
8,8
6,8
6,10
10,10
20,6
8,8
48,12
21,21
24,21
21,21
21,21
21,21
21,21
21,21
24,21
21,21
21,21
21,21
7,21
7,21
21,21
29,13
21,21
21,21
21,21
21,21
21,21
21,21
21,21
7,22
21,21
8,23
21,21
21,21
23,23
23,23
6,22
23,23
23,23
23,21
23,21
23,23
23,23
23,23
23,23
16,13
21,21
21,21
21,21
21,21
21,21
13,23
27,23
8,20
16,16
23,20
16,16
16,16
8,21
23,23
11,11
16,16
23,23
20,23
16,16
23,23
21,21
21,21
8,21
21,14
21,14
21,21
23,20
23,23
4,27
28,28
21,31
27,26
27,27
29,29
13,27
24,27
24,27
29,29
16,31
0,31
26,26
29,29
26,26
0,0
0,1
0,0
0,0
0,1
0,0
0,0
0,0
1,0
49,1
0,1
1,0
48,17
17,17
49,27
43,43
49,49
48,48
49,49
48,48
49,49
0,0
5,8
8,8
5,5
11,8
