8,8
8,8
10,10
8,8
9,9
8,10
10,10
10,10
9,9
9,9
9,9
10,10
10,9
10,10
9,9
9,9
9,9
8,9
9,9
9,9
9,9
8,7
9,9
10,10
9,9
8,7
9,9
9,9
17,17
17,17
22,19
17,17
17,17
17,17
15,17
15,22
17,17
17,22
18,18
17,17
17,17
17,17
22,22
18,18
22,22
17,22
7,17
17,22
17,23
22,16
18,18
15,19
17,17
17,22
22,16
17,22
8,22
22,22
17,22
17,23
18,18
15,22
22,22
18,18
18,18
17,22
11,11
18,18
15,22
18,18
48,18
30,0
9,8
48,9
13,10
10,10
7,7
10,10
47,7
10,10
10,8
47,7
8,8
10,10
8,9
10,8
10,10
6,8
8,8
10,10
7,7
10,10
10,10
10,10
9,9
7,7
10,10
10,10
31,10
21,6
10,10
10,6
10,10
10,10
10,10
10,10
8,8
9,10
7,7
10,10
8,7
10,8
8,8
9,5
8,8
8,8
9,9
8,8
8,8
9,9
10,10
24,8
9,9
21,21
21,13
10,21
47,13
24,24
24,30
8,24
8,24
21,24
24,24
10,24
24,30
31,24
31,31
9,24
24,24
0,31
14,24
24,24
7,31
47,47
47,47
47,47
47,47
43,47
40,47
47,43
47,47
47,47
12,7
10,10
5,5
5,5
5,5
7,7
8,8
22,7
10,10
7,6
11,7
6,5
8,7
10,10
5,5
7,6
41,8
19,8
10,10
10,10
9,9
9,9
9,9
23,5
9,5
10,10
8,8
24,5
4,5
21,13
11,11
19,17
22,12
11,11
22,22
49,12
22,12
7,11
6,11
12,12
24,11
22,11
31,31
26,30
7,31
24,24
24,24
5,30
27,29
43,41
43,43
43,43
44,41
29,49
9,9
9,8
9,9
5,7
9,9
9,9
49,8
9,7
8,9
9,8
8,5
9,9
8,8
9,9
10,10
30,9
10,7
8,9
8,8
9,10
9,6
9,9
48,7
8,7
9,9
7,7
4,8
22,8
15,22
17,19
19,19
19,19
19,19
19,19
22,22
19,17
17,22
23,22
17,22
48,22
17,17
29,13
20,20
9,13
19,19
17,19
48,19
30,12
23,15
10,12
33,22
17,17
17,17
13,13
17,22
13,13
17,22
23,23
17,19
48,22
22,22
17,17
19,22
17,17
23,23
17,22
19,17
13,13
13,13
34,19
5,15
11,19
48,13
17,19
17,22
23,23
17,22
22,17
5,29
30,30
29,29
30,30
5,29
30,30
48,30
30,30
29,29
29,29
13,29
29,29
13,29
29,29
10,31
49,30
29,29
43,41
22,38
43,41
48,48
48,48
48,48
48,48
48,48
17,48
48,48
48,48
48,48
48,48
29,48
49,48
49,48
23,48
48,48
5,49
48,48
48,48
48,48
8,49
17,49
13,49
4,1
0,0
10,8
8,7
9,9
8,8
7,7
10,10
10,10
1,7
9,9
10,10
21,7
49,6
7,7
7,7
21,7
10,10
9,9
0,7
8,8
10,10
11,9
9,9
7,7
9,9
7,7
10,10
7,7
9,9
9,9
9,9
9,9
9,9
9,9
7,7
7,7
7,7
10,9
17,17
0,21
21,21
21,21
0,24
24,24
33,33
41,41
32,44
43,43
43,47
41,41
48,48
49,49
49,49
49,48
48,48
9,9
9,9
9,9
9,9
10,10
9,9
8,8
9,9
10,10
8,10
8,8
9,9
9,9
9,9
9,9
9,9
10,10
9,9
10,10
10,10
9,9
9,9
10,10
9,9
10,10
9,9
9,9
9,9
9,9
9,9
10,10
9,9
9,9
10,10
10,10
8,10
10,10
10,10
10,8
9,9
9,9
9,9
9,9
10,10
8,8
19,19
42,42
42,42
8,8
9,9
10,10
10,10
9,9
9,9
9,9
7,8
8,9
10,10
10,10
7,7
10,10
7,7
10,10
10,10
10,10
7,10
7,7
10,10
10,10
10,10
9,9
10,10
10,10
8,8
10,10
0,7
9,9
9,9
8,8
38,12
0,31
9,31
9,31
31,31
48,49
10,48
28,0
21,9
9,9
21,9
21,10
21,10
9,9
10,8
21,10
9,9
10,8
8,6
10,10
7,8
8,8
8,8
6,10
10,10
20,6
8,8
48,12
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
30,21
21,21
29,13
21,21
21,21
6,21
21,21
21,21
21,21
21,21
20,22
21,21
8,23
21,21
21,21
23,23
23,23
23,22
23,23
23,23
23,21
23,21
23,23
23,23
23,23
23,23
16,13
24,21
21,21
21,21
21,21
21,21
13,23
27,23
8,20
16,16
23,20
0,16
16,16
23,21
23,23
11,11
16,16
23,23
20,23
16,16
23,23
21,21
21,21
8,21
23,14
21,14
21,21
23,20
23,23
1,27
28,28
9,31
26,26
27,27
29,29
13,27
24,27
24,27
29,29
16,31
31,31
26,26
29,29
50,26
0,0
0,1
0,0
0,0
0,1
0,0
0,0
0,0
1,0
49,1
0,1
1,0
48,17
48,17
49,27
47,43
0,49
48,48
19,49
48,48
49,49
0,0
8,8
8,8
5,5
32,8
